species_code,Вид,phase_code,Стадия/условие,Формула ккал ME/сут,Диапазон/альтернатива,Параметры,Страница,Примечание,Источник
dog,Собака,adult_age_1_2,Взрослая 1–2 года,130 × BW_kg^0.75,125–140 × BW_kg^0.75,BW_kg,54,Стартовая оценка MER; корректировать по BCS и динамике массы.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,adult_age_3_7,Взрослая 3–7 лет,110 × BW_kg^0.75,95–130 × BW_kg^0.75,BW_kg,54,Стартовая оценка MER.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,senior_over_7,Старше 7 лет,95 × BW_kg^0.75,80–120 × BW_kg^0.75,BW_kg,54,Стартовая оценка MER.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,activity_low,Низкая активность <1 ч/сут,95 × BW_kg^0.75,,BW_kg,55,Пример: прогулка на поводке.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,activity_moderate_low_impact,"Умеренная активность 1–3 ч/сут, низкая нагрузка",110 × BW_kg^0.75,,BW_kg,55,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,activity_moderate_high_impact,"Умеренная активность 1–3 ч/сут, высокая нагрузка",125 × BW_kg^0.75,,BW_kg,55,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,activity_high,Высокая активность 3–6 ч/сут,150–175 × BW_kg^0.75,,BW_kg,55,Рабочие собаки.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,obesity_prone,Склонные к ожирению взрослые,≤90 × BW_kg^0.75,,BW_kg,55,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,newborn,Новорождённые щенки,25 × (BW_g / 100),,BW_g,56,ккал ME/сут.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,puppy_8w_1y,Щенки 8 недель–1 год,[254.1 − 135 × (BW_kg / mature_BW_kg)] × BW_kg^0.75,,BW_kg; mature_BW_kg,56,Регулярно сверять с кривой роста и BCS.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,gestation_first_4w,"Беременность, первые 4 недели",132 × BW_kg^0.75,,BW_kg,56,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,gestation_last_5w,"Беременность, последние 5 недель",132 × BW_kg^0.75 + 26 × BW_kg,,BW_kg,56,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,lactation_1_4,"Лактация, 1–4 щенка",145 × BW_kg^0.75 + 24 × n × BW_kg × L,,BW_kg; n; L,56,L: нед.1=0.75; нед.2=0.95; нед.3=1.10; нед.4=1.20.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
dog,Собака,lactation_5_8,"Лактация, 5–8 щенков",145 × BW_kg^0.75 + [96 + 12 × (n−4)] × BW_kg × L,,BW_kg; n; L,56,L: нед.1=0.75; нед.2=0.95; нед.3=1.10; нед.4=1.20.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,adult_indoor_neutered,Кастрированная и/или домашняя,52–75 × BW_kg^0.67,,BW_kg,57,Для кошки 4 кг: ориентировочно 35–45 ккал/кг BW.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,adult_active,Активная взрослая,100 × BW_kg^0.67,,BW_kg,57,Для кошки 4 кг: ориентировочно 60–65 ккал/кг BW.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,kitten_0_4m,Котёнок до 4 месяцев,2.0–2.5 × MER,,MER,57,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,kitten_4_9m,Котёнок 4–9 месяцев,1.75–2.0 × MER,,MER,57,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,kitten_9_12m,Котёнок 9–12 месяцев,1.5 × MER,,MER,57,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,gestation,Беременность,140 × BW_kg^0.67,,BW_kg,57,,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,lactation_lt3,"Лактация, <3 котят",100 × BW_kg^0.67 + 18 × BW_kg × L,,BW_kg; L,57,L: нед.1–2=0.9; нед.3–4=1.2; нед.5=1.1; нед.6=1.0; нед.7=0.8.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,lactation_3_4,"Лактация, 3–4 котёнка",100 × BW_kg^0.67 + 60 × BW_kg × L,,BW_kg; L,57,L: нед.1–2=0.9; нед.3–4=1.2; нед.5=1.1; нед.6=1.0; нед.7=0.8.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
cat,Кошка,lactation_gt4,"Лактация, >4 котят",100 × BW_kg^0.67 + 70 × BW_kg × L,,BW_kg; L,57,L: нед.1–2=0.9; нед.3–4=1.2; нед.5=1.1; нед.6=1.0; нед.7=0.8.,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf
