species_code,Вид,stage_code,Стадия,physiological_state,MER_reference,nutrient_code,category_code,Категория,Нутриент RU,Nutrient EN,Ед./1000 ккал ME,min_value,min_value_upper,source_value_text,is_established,footnote,source_table,source_page,source_url,Примечание
dog,Собака,dog_adult_mer95,Взрослая собака — MER 95,adult,95 kcal/kg BW^0.75,protein,macronutrient,Основные питательные вещества,Белок,Protein,g,52.1,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer110,Взрослая собака — MER 110,adult,110 kcal/kg BW^0.75,protein,macronutrient,Основные питательные вещества,Белок,Protein,g,45.0,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_early_growth_reproduction,Ранний рост <14 нед. / репродукция,growth_reproduction,,protein,macronutrient,Основные питательные вещества,Белок,Protein,g,62.5,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,FEDIAF объединяет ранний рост и репродукцию в одной колонке.
dog,Собака,dog_late_growth,Поздний рост ≥14 нед.,growth,,protein,macronutrient,Основные питательные вещества,Белок,Protein,g,50.0,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer95,Взрослая собака — MER 95,adult,95 kcal/kg BW^0.75,arginine,amino_acid,Аминокислоты,Аргинин,Arginine,g,1.51,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer110,Взрослая собака — MER 110,adult,110 kcal/kg BW^0.75,arginine,amino_acid,Аминокислоты,Аргинин,Arginine,g,1.3,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_early_growth_reproduction,Ранний рост <14 нед. / репродукция,growth_reproduction,,arginine,amino_acid,Аминокислоты,Аргинин,Arginine,g,2.04,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,FEDIAF объединяет ранний рост и репродукцию в одной колонке.
dog,Собака,dog_late_growth,Поздний рост ≥14 нед.,growth,,arginine,amino_acid,Аминокислоты,Аргинин,Arginine,g,1.84,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer95,Взрослая собака — MER 95,adult,95 kcal/kg BW^0.75,histidine,amino_acid,Аминокислоты,Гистидин,Histidine,g,0.67,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer110,Взрослая собака — MER 110,adult,110 kcal/kg BW^0.75,histidine,amino_acid,Аминокислоты,Гистидин,Histidine,g,0.58,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_early_growth_reproduction,Ранний рост <14 нед. / репродукция,growth_reproduction,,histidine,amino_acid,Аминокислоты,Гистидин,Histidine,g,0.98,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,FEDIAF объединяет ранний рост и репродукцию в одной колонке.
dog,Собака,dog_late_growth,Поздний рост ≥14 нед.,growth,,histidine,amino_acid,Аминокислоты,Гистидин,Histidine,g,0.63,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer95,Взрослая собака — MER 95,adult,95 kcal/kg BW^0.75,isoleucine,amino_acid,Аминокислоты,Изолейцин,Isoleucine,g,1.33,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer110,Взрослая собака — MER 110,adult,110 kcal/kg BW^0.75,isoleucine,amino_acid,Аминокислоты,Изолейцин,Isoleucine,g,1.15,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_early_growth_reproduction,Ранний рост <14 нед. / репродукция,growth_reproduction,,isoleucine,amino_acid,Аминокислоты,Изолейцин,Isoleucine,g,1.63,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,FEDIAF объединяет ранний рост и репродукцию в одной колонке.
dog,Собака,dog_late_growth,Поздний рост ≥14 нед.,growth,,isoleucine,amino_acid,Аминокислоты,Изолейцин,Isoleucine,g,1.25,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
dog,Собака,dog_adult_mer95,Взрослая собака — MER 95,adult,95 kcal/kg BW^0.75,leucine,amino_acid,Аминокислоты,Лейцин,Leucine,g,2.37,,,True,,III-3b,16,https://europeanpetfood.org/wp-content/uploads/2025/09/FEDIAF-Nutritional-Guidelines_2025-ONLINE.pdf,
